Type,Booking No.,Check-in,Check-out,First Name,Last Name,Specification,Room No.,Guests,Guest Name,Comment,Date,Units,Unit Price,Total,Reference,Status
SURCHARGE,26216,7/30/2023,8/4/2023,,,Maine Hotel Tax,,,,,,1,74.25,74.25,,
ACCOMM,26219,8/2/2023,8/5/2023,,,Maine Room,22,1,,,,3,145,435,,
SURCHARGE,26219,8/2/2023,8/5/2023,,,Maine Hotel Tax,,,,,,1,39.15,39.15,,
ACCOMM,26222,7/15/2023,7/16/2023,,,Bunk,32,3,,,,1,165,165,,
EXTRAS,26222,7/15/2023,7/16/2023,,,Request Dinner Reservation,,,,,,1,0,0,,
SURCHARGE,26222,7/15/2023,7/16/2023,,,Maine Hotel Tax,,,,,,1,14.85,14.85,,
ACCOMM,26225,7/21/2023,7/22/2023,,,Maine Room,22,1,,,,1,145,145,,
SURCHARGE,26225,7/21/2023,7/22/2023,,,Maine Hotel Tax,,,,,,1,13.05,13.05,,
ACCOMM,26231,7/9/2023,7/10/2023,,,Lodge Room,24,3,,,,1,165,165,,
SURCHARGE,26231,7/9/2023,7/10/2023,,,Maine Hotel Tax,,,,,,1,14.85,14.85,,
ACCOMM,26233,7/18/2023,7/20/2023,,,Bird Room,21,2,,,,2,145,290,,
SURCHARGE,26233,7/18/2023,7/20/2023,,,Maine Hotel Tax,,,,,,1,26.1,26.1,,
ACCOMM,26234,9/1/2023,9/4/2023,,,Maine Room,22,2,,,,3,145,435,,
SURCHARGE,26234,9/1/2023,9/4/2023,,,Maine Hotel Tax,,,,,,1,39.15,39.15,,
ACCOMM,26235,7/18/2023,7/21/2023,,,Maine Room,22,2,,,,3,145,435,,
SURCHARGE,26235,7/18/2023,7/21/2023,,,Maine Hotel Tax,,,,,,1,39.15,39.15,,
ACCOMM,26237,6/30/2023,7/2/2023,,,Maine Room,22,2,,,,2,145,290,,
EXTRAS,26237,6/30/2023,7/2/2023,,,Pet With Stay,,,,,,1,65,65,,
SURCHARGE,26237,6/30/2023,7/2/2023,,,Maine Hotel Tax,,,,,,1,31.95,31.95,,
ACCOMM,26238,7/16/2023,7/17/2023,,,Bunk,32,2,,,,1,145,145,,
SURCHARGE,26238,7/16/2023,7/17/2023,,,Maine Hotel Tax,,,,,,1,13.05,13.05,,
ACCOMM,26239,6/30/2023,7/1/2023,,,Bunk,32,5,,,,1,205,205,,
SURCHARGE,26239,6/30/2023,7/1/2023,,,Maine Hotel Tax,,,,,,1,18.45,18.45,,
ACCOMM,26241,8/16/2023,8/19/2023,,,Maine Room,22,2,,,,3,145,435,,
SURCHARGE,26241,8/16/2023,8/19/2023,,,Maine Hotel Tax,,,,,,1,39.15,39.15,,
ACCOMM,26242,7/1/2023,7/2/2023,,,Bunk,32,2,,,,1,145,145,,
EXTRAS,26242,7/1/2023,7/2/2023,,,Pet With Stay,,,,,,1,65,65,,
SURCHARGE,26242,7/1/2023,7/2/2023,,,Maine Hotel Tax,,,,,,1,18.9,18.9,,
ACCOMM,26243,6/30/2023,7/5/2023,,,Lodge Room,24,2,,,,5,145,725,,
SURCHARGE,26243,6/30/2023,7/5/2023,,,Maine Hotel Tax,,,,,,1,65.25,65.25,,
ACCOMM,26244,7/6/2023,7/7/2023,,,Bunk,32,4,,,,1,185,185,,
SURCHARGE,26244,7/6/2023,7/7/2023,,,Maine Hotel Tax,,,,,,1,16.65,16.65,,
ACCOMM,26245,7/7/2023,7/8/2023,,,Bunk,32,2,,,,1,145,145,,
SURCHARGE,26245,7/7/2023,7/8/2023,,,Maine Hotel Tax,,,,,,1,13.05,13.05,,
ACCOMM,26246,7/7/2023,7/9/2023,,,Lodge Room,24,2,,,,2,145,290,,
SURCHARGE,26246,7/7/2023,7/9/2023,,,Maine Hotel Tax,,,,,,1,26.1,26.1,,
ACCOMM,26247,9/1/2023,9/4/2023,,,Bird Room,21,2,,,,3,145,435,,
SURCHARGE,26247,9/1/2023,9/4/2023,,,Maine Hotel Tax,,,,,,1,39.15,39.15,,
ACCOMM,26248,8/5/2023,8/7/2023,,,Lake Room,31,2,,,,2,155,310,,
SURCHARGE,26248,8/5/2023,8/7/2023,,,Maine Hotel Tax,,,,,,1,27.9,27.9,,
ACCOMM,26249,7/8/2023,7/10/2023,,,Lake Room,31,2,,,,2,155,310,,
EXTRAS,26249,7/8/2023,7/10/2023,,,Request Dinner Reservation,,,,,,2,0,0,,
SURCHARGE,26249,7/8/2023,7/10/2023,,,Maine Hotel Tax,,,,,,1,27.9,27.9,,
ACCOMM,26251,7/7/2023,7/8/2023,,,Lake Room,31,2,,,,1,155,155,,
SURCHARGE,26251,7/7/2023,7/8/2023,,,Maine Hotel Tax,,,,,,1,13.95,13.95,,
ACCOMM,26252,7/6/2023,7/7/2023,,,Bird Room,21,2,,,,1,145,145,,
SURCHARGE,26252,7/6/2023,7/7/2023,,,Maine Hotel Tax,,,,,,1,13.05,13.05,,
ACCOMM,26253,7/7/2023,7/8/2023,,,Black Bear Room,23,1,,,,1,145,145,,
SURCHARGE,26253,7/7/2023,7/8/2023,,,Maine Hotel Tax,,,,,,1,13.05,13.05,,
ACCOMM,26254,7/8/2023,7/9/2023,,,Bird Room,21,2,,,,1,145,145,,
EXTRAS,26254,7/8/2023,7/9/2023,,,Pet With Stay,,,,,,1,65,65,,
SURCHARGE,26254,7/8/2023,7/9/2023,,,Maine Hotel Tax,,,,,,1,18.9,18.9,,
ACCOMM,26255,7/16/2023,7/17/2023,,,Maine Room,22,1,,,,1,145,145,,
SURCHARGE,26255,7/16/2023,7/17/2023,,,Maine Hotel Tax,,,,,,1,13.05,13.05,,
ACCOMM,26256,7/12/2023,7/14/2023,,,Bird Room,21,2,,,,2,145,290,,
SURCHARGE,26256,7/12/2023,7/14/2023,,,Maine Hotel Tax,,,,,,1,26.1,26.1,,
ACCOMM,26257,7/21/2023,7/23/2023,,,Lodge Room,24,2,,,,2,145,290,,
SURCHARGE,26257,7/21/2023,7/23/2023,,,Maine Hotel Tax,,,,,,1,26.1,26.1,,
ACCOMM,26258,9/8/2023,9/10/2023,,,Bird Room,21,2,,,,2,145,290,,
ACCOMM,26258,9/8/2023,9/10/2023,,,Lake Room,31,2,,,,2,155,310,,
SURCHARGE,26258,9/8/2023,9/10/2023,,,Maine Hotel Tax,,,,,,1,54,54,,
ACCOMM,26259,7/10/2023,7/11/2023,,,Bird Room,21,2,,,,1,145,145,,
ACCOMM,26259,7/10/2023,7/11/2023,,,Maine Room,22,2,,,,1,145,145,,
SURCHARGE,26259,7/10/2023,7/11/2023,,,Maine Hotel Tax,,,,,,1,26.1,26.1,,
PAYMENT,26259,7/10/2023,7/11/2023,,,Card,,,,,7/10/2023 20:33,1,-316.1,-316.1,,
ACCOMM,26260,7/14/2023,7/15/2023,,,Lake Room,31,2,,,,1,155,155,,
EXTRAS,26260,7/14/2023,7/15/2023,,,Request Dinner Reservation,,,,,,1,0,0,,
SURCHARGE,26260,7/14/2023,7/15/2023,,,Maine Hotel Tax,,,,,,1,13.95,13.95,,
ACCOMM,26263,10/5/2023,10/6/2023,,,Lake Room,31,2,,,,1,155,155,,
SURCHARGE,26263,10/5/2023,10/6/2023,,,Maine Hotel Tax,,,,,,1,13.95,13.95,,
ACCOMM,26265,9/14/2023,9/17/2023,,,Bird Room,21,3,,,,3,165,495,,
ACCOMM,26265,9/14/2023,9/17/2023,,,Maine Room,22,4,,,,3,145,435,,
ACCOMM,26265,9/14/2023,9/17/2023,,,Black Bear Room,23,4,,,,3,185,555,,
ACCOMM,26265,9/14/2023,9/17/2023,,,Lodge Room,24,4,,,,3,185,555,,
ACCOMM,26265,9/14/2023,9/17/2023,,,Bunk,32,6,,,,3,235,705,,
SURCHARGE,26265,9/14/2023,9/17/2023,,,Maine Hotel Tax,,,,,,1,247.05,247.05,,
ACCOMM,26266,7/15/2023,7/17/2023,,,Lodge Room,24,2,,,,2,145,290,,
SURCHARGE,26266,7/15/2023,7/17/2023,,,Maine Hotel Tax,,,,,,1,26.1,26.1,,
ACCOMM,26267,7/23/2023,7/25/2023,,,Maine Room,22,2,,,,2,145,290,,
SURCHARGE,26267,7/23/2023,7/25/2023,,,Maine Hotel Tax,,,,,,1,26.1,26.1,,
ACCOMM,26268,7/21/2023,7/23/2023,,,Bunk,32,2,,,,2,155,310,,
SURCHARGE,26268,7/21/2023,7/23/2023,,,Maine Hotel Tax,,,,,,1,27.9,27.9,,
ACCOMM,26269,7/17/2023,7/18/2023,,,Bird Room,21,2,,,,1,145,145,,
SURCHARGE,26269,7/17/2023,7/18/2023,,,Maine Hotel Tax,,,,,,1,13.05,13.05,,
PAYMENT,26269,7/17/2023,7/18/2023,,,Stripe,,,,,7/17/2023 10:21,1,-158.05,-158.05,ch_3NUsIoExrn0110Bj0ao3Qe7P,Settled
ACCOMM,26270,7/28/2023,7/29/2023,,,Bird Room,21,1,,,,1,145,145,,
SURCHARGE,26270,7/28/2023,7/29/2023,,,Maine Hotel Tax,,,,,,1,13.05,13.05,,
ACCOMM,26271,7/18/2023,7/19/2023,,,Lodge Room,24,1,,,,1,145,145,,
SURCHARGE,26271,7/18/2023,7/19/2023,,,Maine Hotel Tax,,,,,,1,13.05,13.05,,
PAYMENT,26271,7/18/2023,7/19/2023,,,Card,,,,7-17-23 stripe,7/18/2023 9:43,1,-158.05,-158.05,,
ACCOMM,26273,7/28/2023,7/29/2023,,,Maine Room,22,2,,,,1,145,145,,
SURCHARGE,26273,7/28/2023,7/29/2023,,,Maine Hotel Tax,,,,,,1,13.05,13.05,,
PAYMENT,26273,7/28/2023,7/29/2023,,,Stripe,,,,,7/18/2023 15:55,1,-158.05,-158.05,ch_3NVJzmExrn0110Bj1gL7SjUT,Settled
